age_lower	age_upper	positive tests	negative tests
0	5	676	31868
5	10	66	4147
10	15	25	2581
15	20	23	2592
20	25	20	1811
25	30	27	2119
30	35	47	2452
35	40	39	2723
40	45	26	2797
45	50	40	2934
50	55	37	3301
55	60	38	3806
60	65	38	4337
65	70	52	4934
70	75	42	4975
75	80	29	3279
80	85	14	2047
85	90	14	1203
90	95	13	561
