age_lower	age_upper	positive tests	negative tests
0	5	1075	70081
5	10	102	9335
10	15	49	5753
15	20	38	5687
20	25	38	3957
25	30	47	4690
30	35	77	5446
35	40	66	6058
40	45	54	6149
45	50	66	6502
50	55	62	7340
55	60	64	8428
60	65	66	9691
65	70	94	10972
70	75	78	11274
75	80	51	7531
80	85	30	4685
85	90	18	2787
90	95	16	1310
