date	hubei cases	total
2020.0712937595129	761	1409.0
2020.0721803652968	1053	1812.0
2020.0723611111111	1052	1970.0
2020.0725	1052	1992.0
2020.072654109589	1052	1999.0
2020.0727035768646	1052	2005.0
2020.074355022831	1058	2081.0
2020.0747165144596	1058	2093.0
2020.07475456621	1423	2463.0
2020.074885844749	1423	2589.0
2020.0758085996956	1423	2823.0
2020.0760692541858	1423	2826.0
2020.0760863774733	1423	2835.0
2020.0761662861491	1423	2840.0
2020.0763299086757	1423	2844.0
2020.076367960426	1423	2846.0
2020.076660958904	1423	2849.0
2020.0767009132421	1423	2857.0
2020.0767465753424	1423	2858.0
2020.0774467275494	1423	2882.0
2020.0776598173516	1423	2940.0
2020.077701674277	2714	4313.0
2020.0777720700153	2714	4465.0
2020.0778063165906	2714	4486.0
2020.0778652968036	2714	4529.0
2020.077969939117	2714	4529.0
2020.078042237443	2714	4533.0
2020.078211567732	2714	4547.0
2020.078280060883	2714	4547.0
2020.0784227549468	2714	4565.0
2020.07848934551	2714	4578.0
2020.0785140791477	2714	4586.0
2020.0785292998478	2714	4597.0
2020.0786529680365	2714	4599.0
2020.0787519025876	2714	4618.0
2020.0789745053273	2714	4622.0
2020.0790049467275	2714	4629.0
2020.079109589041	2714	4630.0
2020.0794958143074	2714	4633.0
2020.079608066971	3554	5960.0
2020.0805041856925	3554	5926.0
2020.0805270167427	3554	5975.0
2020.080538432268	3554	5978.0
2020.0805574581432	3554	5980.0
2020.0806202435313	3554	5980.0
2020.0806544901066	3554	5981.0
2020.0806792237443	3554	5983.0
2020.080692541857	3554	5983.0
2020.080740106545	3554	5993.0
2020.0809075342465	3554	5996.0
2020.0809512937594	3554	6004.0
2020.0809779299848	3554	6017.0
2020.0810388127854	3554	6014.0
2020.0811244292238	3554	6015.0
2020.0811529680366	3554	6016.0
2020.081170091324	3554	6025.0
2020.0811929223744	3554	6041.0
2020.0812309741248	3554	6041.0
2020.0812671232877	3554	6043.0
2020.0813242009133	3554	6074.0
2020.0814155251142	3554	6078.0
2020.081590563166	3554	6083.0
2020.0816476407915	3554	6086.0
2020.0820795281584	3554	6086.0
2020.0821328006089	3554	6095.0
2020.08224695586	3554	6095.0
2020.0822754946728	3554	6095.0
2020.0830060882802	3554	6174.0
2020.0830156012178	4586	7206.0
2020.0830840943684	4586	7207.0
2020.0831202435313	4586	7212.0
2020.0831621004565	4586	7249.0
2020.0831811263317	4586	7283.0
2020.0832172754947	4586	7451.0
2020.0832363013699	4586	7584.0
2020.0832572298325	4586	7596.0
2020.0832952815829	4586	7686.0
2020.0833713850836	4586	7719.0
2020.083607305936	4586	7733.0
2020.083618721461	4586	7736.0
2020.083654870624	4586	7741.0
2020.0836967275495	4586	7742.0
2020.0839269406392	4586	7753.0
2020.0839745053272	4586	7766.0
2020.0840563165905	4586	7783.0
2020.0840848554033	4586	7826.0
2020.084244672755	4586	7827.0
2020.0842884322678	4586	7828.0
2020.0844044901066	4586	7830.0
2020.0847450532724	4903	8147.0
2020.0848249619482	4903	8148.0
2020.0848306697108	4903	8149.0
2020.0849391171994	4903	8150.0
2020.0849676560122	4903	8156.0
2020.085055175038	4903	8163.0
2020.0857800608828	5806	9066.0
2020.0857971841704	5806	9090.0
2020.0858523592085	5806	9118.0
2020.0858732876711	5806	9122.0
2020.085894216134	5806	9139.0
2020.0859227549468	5806	9220.0
2020.0860312024354	5806	9600.0
2020.086067351598	5806	9656.0
2020.0861073059361	5806	9656.0
2020.0861491628616	5806	9660.0
2020.0862043378995	5806	9685.0
2020.0862271689498	5806	9686.0
2020.0862747336378	5806	9686.0
2020.0863394216135	5806	9705.0
2020.086352739726	5806	9716.0
2020.0864269406393	5806	9724.0
2020.0864840182649	5806	9731.0
2020.0866837899543	5806	9737.0
2020.0867541856926	5806	9745.0
2020.0868245814308	5806	9752.0
2020.0868702435312	5806	9809.0
2020.0868854642313	5806	9810.0
2020.0869330289192	5806	9811.0
2020.0873268645357	5806	9812.0
2020.0874277016742	5806	9812.0
2020.0884988584476	5806	9829.0
2020.088536910198	7153	11211.0
2020.0885673515982	7153	11230.0
2020.088603500761	7153	11244.0
2020.0886263318112	7153	11244.0
2020.0886396499238	7153	11257.0
2020.0886815068493	7153	11357.0
2020.088702435312	7153	11437.0
2020.0887252663622	7153	11499.0
2020.08874238965	7153	11664.0
2020.0887747336378	7153	11685.0
2020.0887918569254	7153	11684.0
2020.0888146879756	7153	11686.0
2020.0888356164382	7153	11696.0
2020.0888432267884	7153	11753.0
2020.0889231354643	7153	11767.0
2020.0889573820396	7153	11768.0
2020.0889649923897	7153	11772.0
2020.0889897260274	7153	11796.0
2020.0890182648402	7153	11796.0
2020.089046803653	7153	11813.0
2020.089050608828	7153	11821.0
2020.0891609589041	7153	11822.0
2020.0891914003043	7153	11825.0
2020.0892256468799	7153	11828.0
2020.0892694063928	7153	11844.0
2020.089414003044	7153	11847.0
2020.0894729832573	7153	11851.0
2020.0895186453577	7153	11860.0
2020.0895509893455	7153	11862.0
2020.0895909436833	7153	11877.0
2020.0896385083713	7153	11889.0
2020.0896499238966	7153	11889.0
2020.0898953576864	7153	11889.0
2020.0899124809741	7153	11889.0
2020.0899543378996	7153	11890.0
2020.0903234398781	7153	11891.0
2020.0903729071538	7153	11899.0
2020.0903824200914	7153	11901.0
2020.0912766362253	9074	13831.0
2020.0912956621005	9074	13846.0
2020.0913565449011	9074	13873.0
2020.0914155251141	9074	13947.0
2020.0914364535768	9074	14000.0
2020.091455479452	9074	14035.0
2020.0914802130899	9074	14151.0
2020.09149543379	9074	14209.0
2020.0915201674277	9074	14352.0
2020.0915639269406	9074	14356.0
2020.0916076864535	9074	14357.0
2020.0916914003044	9074	14372.0
2020.091700913242	9074	14387.0
2020.0917541856925	9074	14406.0
2020.0918169710806	9074	14413.0
2020.0919292237443	9074	14416.0
2020.0919596651445	9074	14418.0
2020.0919882039573	9074	14423.0
2020.0920433789954	9074	14423.0
2020.092104261796	9074	14423.0
2020.0921289954338	9074	14423.0
2020.0922012937594	9074	14428.0
2020.0922393455098	9074	14433.0
2020.0922773972602	9074	14446.0
2020.092298325723	9074	14454.0
2020.092330669711	9074	14482.0
2020.0924162861493	9074	14482.0
2020.092448630137	9074	14483.0
2020.0925114155252	9074	14483.0
2020.0925608828006	9074	14489.0
2020.0930384322678	9074	14490.0
2020.094006849315	9074	14525.0
2020.0940125570776	9074	14536.0
2020.0940239726028	11177	16639.0
2020.0940468036529	11177	16640.0
2020.0940734398782	11177	16651.0
2020.094086757991	11177	16667.0
2020.094101978691	11177	16676.0
2020.094145738204	11177	16691.0
2020.0941685692542	11177	16832.0
2020.0941933028919	11177	16901.0
2020.0942104261796	11177	16917.0
2020.0942370624048	11177	17147.0
2020.09425608828	11177	17170.0
2020.094351217656	11177	17184.0
2020.0943664383562	11177	17187.0
2020.094398782344	11177	17200.0
2020.094442541857	11177	17220.0
2020.094512937595	11177	17223.0
2020.0946670471842	11177	17225.0
2020.0947336377474	11177	17223.0
2020.0947564687976	11177	17238.0
2020.0947678843227	11177	17242.0
2020.094802130898	11177	17239.0
2020.0948782343987	11177	17242.0
2020.094912480974	11177	17255.0
2020.0949752663623	11177	17255.0
2020.0950361491628	11177	17267.0
2020.0950646879755	11177	17309.0
2020.0951293759513	11177	17330.0
2020.0951560121766	11177	17335.0
2020.0951731354642	11177	17335.0
2020.095458523592	11177	17335.0
2020.0955441400304	11177	17335.0
2020.0956430745814	11177	17339.0
2020.0956849315069	11177	17341.0
2020.096697108067	13522	19690.0
2020.0967161339422	13522	19698.0
2020.096729452055	13522	19701.0
2020.096759893455	13522	19726.0
2020.0968359969559	13522	19744.0
2020.0968474124809	13522	19767.0
2020.0968797564688	13522	19846.0
2020.096902587519	13522	20000.0
2020.0969273211567	13522	20047.0
2020.0969920091325	13522	20416.0
2020.097045281583	13522	20419.0
2020.0970738203957	13522	20433.0
2020.0971308980213	13522	20434.0
2020.0971822678844	13522	20449.0
2020.0973325722982	13522	20451.0
2020.0973744292237	13522	20458.0
2020.0975456621004	13522	20469.0
2020.0975665905632	13522	20469.0
2020.0976103500761	13522	20471.0
2020.097638888889	13522	20479.0
2020.0977568493151	13522	20502.0
2020.0977739726027	13522	20502.0
2020.097844368341	13522	20504.0
2020.0978938356163	13522	20520.0
2020.0980232115678	13522	20522.0
2020.09825913242	13522	20523.0
2020.0983447488584	13522	20523.0
2020.0984151445966	13522	20527.0
2020.0984608066972	13522	20527.0
2020.0984950532725	13522	20528.0
2020.098584474886	13522	20530.0
2020.0994710806697	13522	20540.0
2020.0994958143074	16678	23718.0
2020.0995681126333	16678	23732.0
2020.0995909436833	16678	23754.0
2020.0996156773213	16678	23765.0
2020.0996328006088	16678	23784.0
2020.0996594368341	16678	23807.0
2020.0996841704718	16678	23954.0
2020.0997050989345	16678	24088.0
2020.0997108066972	16678	24160.0
2020.09973934551	16678	24235.0
2020.0997678843228	16678	24295.0
2020.099794520548	16678	24304.0
2020.0998211567733	16678	24303.0
2020.0998477929984	16678	24329.0
2020.0998915525115	16678	24331.0
2020.0999619482495	16678	24331.0
2020.100146499239	16678	24342.0
2020.1001883561644	16678	24367.0
2020.100256849315	16678	24377.0
2020.1003843226788	16678	24386.0
2020.1004109589041	16678	24388.0
2020.1005669710808	16678	24413.0
2020.1005917047185	16678	24423.0
2020.1007172754946	16678	24423.0
2020.1008999238966	16678	24430.0
2020.1010407153728	16678	24433.0
2020.1012633181126	16678	24433.0
2020.1012918569254	16678	24434.0
2020.1014098173516	16678	24439.0
2020.101447869102	16678	24447.0
2020.1021765601217	19665	27434.0
2020.1022127092847	19665	27438.0
2020.1022298325722	19665	27451.0
2020.1023211567733	19665	27484.0
2020.102342085236	19665	27520.0
2020.1023668188736	19665	27538.0
2020.1023953576864	19665	27599.0
2020.1024143835616	19665	27740.0
2020.1024353120245	19665	27809.0
2020.1024638508372	19665	27878.0
2020.1024847792999	19665	27943.0
2020.1024961948249	19665	27943.0
2020.1025323439878	19665	27944.0
2020.1025589802132	19665	28001.0
2020.1025608828006	19665	28009.0
2020.1026217656013	19665	28018.0
2020.1026636225267	19665	28039.0
2020.102694063927	19665	28044.0
2020.1027168949772	19665	28059.0
2020.1028957382039	19665	28065.0
2020.102994672755	19665	28074.0
2020.1030555555556	19665	28077.0
2020.1031754185692	19665	28081.0
2020.1032458143075	19665	28107.0
2020.1032648401826	19665	28118.0
2020.1032952815829	19665	28120.0
2020.1033828006089	19665	28125.0
2020.1034075342466	19665	28129.0
2020.1039573820397	19665	28135.0
2020.1039973363775	19665	28138.0
2020.104904870624	19665	28144.0
2020.1049353120243	22112	30591.0
2020.1049676560121	22112	30602.0
2020.1049847793	22112	30603.0
2020.1050418569255	22112	30615.0
2020.105083713851	22112	30633.0
2020.105095129376	22112	30662.0
2020.1051560121766	22112	30812.0
2020.105178843227	22112	30988.0
2020.1051997716895	22112	31104.0
2020.105209284627	22112	31152.0
2020.10523782344	22112	31161.0
2020.1052815829528	22112	31172.0
2020.105296803653	22112	31177.0
2020.1053234398782	22112	31180.0
2020.1054071537292	22112	31212.0
2020.1054166666668	22112	31212.0
2020.1055631659056	22112	31212.0
2020.1055878995435	22112	31212.0
2020.1056601978692	22112	31214.0
2020.105667808219	22112	31215.0
2020.1057229832572	22112	31223.0
2020.1058904109589	22112	31224.0
2020.1059075342466	22112	31225.0
2020.1059284627092	22112	31232.0
2020.106008371385	22112	31248.0
2020.1060768645357	22112	31253.0
2020.1062842465753	22112	31257.0
2020.1063698630137	22112	31258.0
2020.1064535768646	22112	31260.0
2020.1064687975647	22112	31261.0
2020.1067789193303	22112	31264.0
2020.1076788432267	22112	31266.0
2020.1077111872146	22112	31285.0
2020.1077207001522	24953	34126.0
2020.10776065449	24953	34131.0
2020.1077758751903	24953	34135.0
2020.1077987062404	24953	34173.0
2020.1078748097414	24953	34262.0
2020.107891933029	24953	34293.0
2020.1079147640792	24953	34330.0
2020.1079394977169	24953	34413.0
2020.1079680365297	24953	34499.0
2020.10799086758	24953	34551.0
2020.1080117960425	24953	34558.0
2020.108057458143	24953	34576.0
2020.1081259512937	24953	34609.0
2020.1081335616439	24953	34612.0
2020.1081544901065	24953	34621.0
2020.1083770928462	24953	34622.0
2020.1084398782343	24953	34622.0
2020.1084912480974	24953	34627.0
2020.108563546423	24953	34631.0
2020.108603500761	24953	34640.0
2020.1086815068493	24953	34642.0
2020.1087157534246	24953	34662.0
2020.1087747336378	24953	34662.0
2020.109105783866	24953	34664.0
